start	end	text
0	9360	Olá, gente! Hoje eu estou aqui com o prazer enorme de ter a Gabriela de Queiroz comigo. Tudo bem por aí,
9360	14800	Gabriela? Tudo ótimo. Gabriela, geralmente eu pergunto para os convidados e convidadas aqui
14800	20600	como é que eles começaram com tecnologia, mas você tem um começo um pouco diferente, né? Como
20600	26600	é que foi esse o teu começo, assim, o ensino básico e como é que foi a faculdade que você fez na UERG?
26600	31880	Por favor, gente, por favor. E eu gosto muito de falar sobre isso, né? Porque antes da faculdade,
31880	39400	né? Às vezes a gente não vai tão atrás, assim. Eu não era nenhuma nerd, não era ligada a tecnologia,
39400	44080	não existia. Nem tinha essa coisa que tem hoje em dia de tecnologia, computador e tal. O máximo que
44080	49680	eu tive exposição foi no videogame, que era na televisão, não era nem computador. E o meu negócio
49680	56160	era brincar. O meu negócio era brincar na rua, era fazer esportes, era estar ali em contato com as
56160	61760	pessoas correndo para lá, correndo para cá. Para mim era muito difícil, aliás, ficar sentado estudando.
61760	68720	Então estudar durante o colégio foi sempre um desafio. Não foi uma coisa simples. Fui uma aluna
68720	76720	média repetida de ano. Mas aí o mais interessante é que uma vez que eu repeti o ano, eu acho que
76720	83120	alguma coisa ali clicou que eu comecei a gostar de matemática, química e física e isso abriu um
83120	89760	horizonte assim para mim. Então eu comecei depois a dar aula particular de matemática, química e física
89760	96000	e comecei a ver que eu tinha essa facilidade de explicar e ensinar as coisas, né? Seja uma matéria
96000	103080	que fosse difícil, um conceito difícil de física e eu conseguia destrinchar ou trazer aqueles conceitos
103080	108640	para exemplos em que os estudantes conseguissem entender. Então a escola foi mais ou menos isso.
109280	114840	E aí depois veio a faculdade e aí a faculdade teve um monte de coisa. A primeira ideia do que eu
114840	119560	queria fazer, eu achava que eu ia ser veterinária. A vida inteira eu achei que eu fosse ser veterinária
119560	125120	porque eu amava cachorro. Então para mim na minha cabeça era isso. O primeiro vestibular que eu fiz
125120	132120	realmente foi de veterinária até que chegou no dia anterior, porque a gente tinha duas fases,
132120	138560	no dia anterior da segunda fase, eu falei não, não quero isso, não quero fazer veterinária. E aí foi
138560	144640	meio que caótico porque como a gente sabe o vestibular é uma vez por ano, eu tive que esperar um ano
144640	151080	para fazer, tomar uma outra decisão. E aí quando eu fui fazer esse segundo vestibular no ano anterior
151080	158760	eu falei não, acho que vou fazer engenharia porque gosto de matemática, química e física, campo
158760	163120	assim tradicional, né? Porque acho que um pouco da nossa geração você só tinha algumas opções,
163120	169840	algumas opções eram você fazer engenharia, advocacia ou médico. Geralmente eram essas três,
169840	175560	você não tem muito mais do que isso. E aí acabou que eu também fiz um vestibular para estatística,
175560	181520	para uma universidade que só tinha estatística e aí muita coisa aconteceu desde então. Desde
181520	187760	comecei engenharia, fui para estatística, saí da estatística, voltei para engenharia, tranquei tudo
187760	192880	e fui fazer outras coisinhas que a gente pode falar um pouquinho mais na frente. Mas só para mostrar
192880	197840	que o caminho não é tão linear, o meu caminho pelo menos não foi linear. Em várias estradas para
197840	204120	se chegar a Roma, né? É clichê, mas isso realmente faz total sentido. Conta um pouquinho mais sobre
204120	210160	o Hergill e o Instituto de Matemática e Estatística. Então, lá foi quando eu comecei a fazer engenharia
210160	217760	e aí eu fiz um pouco numa escola de estatística, eu fiz durante seis meses os dois, chamada Escola
217760	223720	Nacional de Ciências e Estatísticas. E fiquei ali nos dois durante seis meses, aí vi que a escola
223720	229200	de estatística não estava gostando muito, voltei para engenharia, fiz mais um tempo e aí depois eu
229200	234120	falei não, não é isso que eu quero fazer. E aí fui fazer uma outra coisa, fui trabalhar com música,
