start	end	text
0	7360	Hi folks, I have the privilege of having Brian Kernigan here with me today.
7360	8360	How are you doing, Brian?
8360	9680	Marcelo, I'm doing fine.
9680	11280	It's a pleasure to talk to you.
11280	13440	And thank you so much for joining me.
13440	14960	You work at Princeton today, right?
14960	18600	So you teach a course named Computers in Our World.
18600	21920	And I'm just wondering if you could tell us a little bit about the work at Princeton.
21920	22920	Sure.
22920	25120	So I've been at Princeton a little over 20 years now.
25120	30880	And for a lot of that time, I have been teaching every fall a course that, as you say, is called
30880	32880	Computers in Our World.
32880	37840	It's basically a course about computing and communications for people who are very, very
37840	42640	non-technical, a typical person in the class, a history major, maybe an English major, maybe
42640	45840	a music major, something like that.
45840	52000	And so what I'm trying to do is to tell them about technology that is already having a
52000	56480	tremendous effect on their lives and is likely to continue to do so in the future.
56480	61680	So the hope is that by the end of the course, they will understand a lot more about the
61680	65680	things that go on in the world around them that are technical, because so much of that is
65680	67920	based on computing.
67920	74720	Going back in time, and I know you're going to tell me in a few minutes, but how did programming
74720	75560	come into your life?
75560	80600	I realize the programming back then was very different than today, but I was just wondering,
80600	82920	how did programming come into your life?
82920	88200	Well, you know, back in those days, there were dinosaurs still walking the earth.
88200	91560	And so it was a very different kind of computing environment.
91560	97960	I actually didn't encounter my first computer until I think I was probably at the end of my
97960	101640	third year in university, somewhere in around that.
101640	107560	And I saw a bit of computing at the university and I had a summer job that had there was a
107560	110440	computer nearby, although I didn't actually use it.
110440	115480	And so I think it wasn't until my last year as an undergraduate at the University of Toronto
115480	118840	that I actually used a computer for anything.
118840	120840	And even that was fairly superficial.
121640	126600	But then I had internships and I did graduate work at Princeton.
126600	130200	And so I did more computing at that point.
130200	136040	So it slowly crept into my life, but not very early compared to most people these days.
136040	141400	Going a little bit back further in time, can you tell us a little bit about your high school
141400	146840	experience and what led you to your bachelor degree in engineering physics at the University
146840	147880	of Toronto?
147880	148520	Sure.
148520	154680	So I grew up in southern Ontario, basically in Toronto.
155400	163960	And then we moved when I was about 15 to a very small town outside of Toronto, maybe 50,
163960	167000	60 kilometres west of Toronto.
167000	170680	And so it was a very, very small high school, very, very small class.
170680	176680	And so there wasn't much there that had anything to do with other than just the basics of
176680	177640	education.
177640	179720	But my father was a chemical engineer.
180280	186680	He ran a very small chemical company and he had been a chemical engineering major at the
186680	188200	University of Toronto.
188200	193400	And so it seemed like sort of the natural thing for me to do to go to University of Toronto.
193400	196200	But I didn't have any real interest in chemistry.
196200	199880	I was probably more interested in electronics.
200440	203240	And so I wasn't sure what to do.
203240	207960	And I had a high school math teacher who suggested that I take the course that you
207960	210120	mentioned called engineering physics.
210120	215640	And what that was, was basically a lot of engineering, but also a lot of math, physics
215640	220840	and chemistry for kids who were interested in engineering, or at least thought they were,
220840	222760	but didn't know what kind.
222760	225800	And so it was a fairly very challenging course.
225800	229800	It was the kind of thing that in other schools might have been called a weed out course,
229800	233880	that is to weed out the people who for whom it wasn't the right choice.
233880	238840	And it was four years of very hard work, but I did get a pretty solid background in a lot
238840	243720	of different things, both the call it the more theoretical and lots of math courses
243720	248200	that were useful in physics and chemistry, but also some practical engineering sorts
248200	248600	of things.
249400	252440	Because there was, for example, a component about civil engineering.
252440	255320	And so we learned about concrete and reinforced beams and so on.
255320	259720	So it was a very tough course, but it was kind of satisfying in a way.
259720	263640	I don't think I've ever worked that hard in my life since just to get through that.
263640	268600	I was hoping you could tell us a little bit about your PhD as well.
268600	273880	I think you did a PhD in electrical engineering from Princeton in 1969, correct?
274520	275720	Yes, that's right.
275720	282040	So after I graduated from Toronto in 1964 in this course called engineering physics,
282040	283720	which is now called engineering science.
283720	286440	They changed the name just after I graduated.
286440	287880	And I went to Princeton.
287880	292440	I had applied to a number of universities, mostly in the United States.
292440	297400	It wasn't all that common for Canadians to go to the United States for graduate school.
297400	301480	It was much more typical for people to simply go straight to work or if they were going to
301480	303560	go to grad school to stay in Canada.
303560	308280	But I went to Princeton in part because I had a good friend who had been a year ahead of me
308280	312040	at Toronto and had then gone to Princeton as well.
312040	316280	This is Al Ajo who shared that Turing Award last year.
316280	318840	So very, very distinguished guy.
318840	323240	But I went to Princeton and there was no computer science department at point.
323240	329240	It was, there was a small collection of very young faculty in the electrical engineering
329240	331880	department who were interested in computing.
331960	334680	Computing at that point was a very, very young field.
335640	340840	Much too early to have separate departments and not really quite clear what the topics
340840	343480	of a computer science degree ought to be.
343480	345560	But it was a good group of people.
345560	347160	Princeton was a great place to be.
347800	358280	And so I spent four and a half years at Princeton getting my PhD and graduated very early in 1969.
358840	361720	How did you get to Bell Labs?
361720	365320	I think you're an intern at Bell Labs at some point in time, correct?
366280	367000	Yeah.
367000	371960	What happened there is at the end, I think of my second full year at Princeton,
371960	379480	I got an internship at MIT and I was working in the group that had developed CTSS,
379480	384040	the Compatible Time Sharing System, which is a very, very nice computing environment.
384040	386600	And one of the probably the first like it.
386840	392840	That group had just embarked on the Multics project, which was an attempt to do all of
